scope,model,responses,A_mean,B_mean,C_mean,D_mean,E_mean,total_mean_15_reference,confirmed_error_response_rate_pct,vendor_mix_response_rate_pct,unverified_claim_response_rate_pct,over_limit_response_rate_pct
Local 전체 10문항,gemma3:4b,20,1.35,1.05,2.35,1.4,0.6,6.75,45.0,30.0,90.0,100.0
Local 전체 10문항,llama3.1:8b,20,1.5,0.75,2.15,1.4,2.95,8.75,40.0,15.0,85.0,0.0
Local 전체 10문항,qwen3:8b,20,1.25,0.8,2.9,2.25,2.8,10.0,70.0,0.0,100.0,10.0
공통 5문항,gemma3:4b,10,1.0,0.9,2.6,1.5,0.7,6.7,60.0,40.0,100.0,100.0
공통 5문항,llama3.1:8b,10,1.6,0.6,2.3,1.8,2.9,9.2,30.0,10.0,100.0,0.0
공통 5문항,luna,5,2.2,3.0,3.0,3.0,0.0,11.2,0.0,0.0,100.0,0.0
공통 5문항,qwen3:8b,10,1.3,1.0,3.0,2.4,2.6,10.3,70.0,0.0,100.0,20.0
