범위,구분,세션,모델,시도수,성공수,실패수,성공률_pct,토큰한도수,3000자초과수,평균응답초,응답초_n,평균입력토큰,입력토큰_n,평균출력토큰,출력토큰_n,평균응답글자수,글자수_n,평균초당토큰,초당토큰_n,평균VRAM_MiB,VRAM_n,평균추론토큰,추론토큰_n,평균캐시입력토큰,캐시입력토큰_n
Local 전체 10문항,핵심,0920-1516,gemma3:4b,20,20,0,100.0,8,20,16.414,20,397.6,20,1491.1,20,3596.2,20,91.89,20,2889.0,20,,0,,0
Local 전체 10문항,핵심,0920-1516,llama3.1:8b,20,20,0,100.0,0,0,16.518,20,455.7,20,802.9,20,1728.25,20,49.17,20,5543.0,20,,0,,0
Local 전체 10문항,핵심,0920-1516,qwen3:8b,20,20,0,100.0,0,2,19.241,20,491.5,20,1046.55,20,2099.15,20,55.44,20,5900.0,20,,0,,0
공통 5문항,핵심,0920-1516,gemma3:4b,10,10,0,100.0,3,10,16.307,10,420.0,10,1478.2,10,3585.2,10,91.72,10,2889.0,10,,0,,0
공통 5문항,핵심,0920-1516,llama3.1:8b,10,10,0,100.0,0,0,17.901,10,487.0,10,877.5,10,1895.5,10,49.58,10,5543.0,10,,0,,0
공통 5문항,핵심,0920-1516,qwen3:8b,10,10,0,100.0,0,2,19.955,10,524.2,10,1100.9,10,2211.3,10,56.06,10,5900.0,10,,0,,0
공통 5문항,핵심,0920-1545,gpt-5.6-luna,5,5,0,100.0,5,0,11.624,5,331.2,5,1536.0,5,2459.6,5,132.42,5,,0,471.8,5,0.0,5
공통 5문항,참고,0920-1603,gemini-3.6-flash,5,2,3,40.0,1,2,13.085,2,267.0,2,1616.0,2,3813.0,2,123.2,2,,0,,0,,0
